City,State,Date,Avg_List_Price
Austin,TX,2020-10-31,396668.0
Virginia Beach,VA,2020-10-31,315386.0
Nashville,TN,2020-10-31,381600.0
Providence,RI,2020-10-31,411805.0
Milwaukee,WI,2020-10-31,244933.0
Jacksonville,FL,2020-10-31,314667.0
Memphis,TN,2020-10-31,257967.0
Oklahoma City,OK,2020-10-31,294322.0
Louisville-Jefferson County,KY,2020-10-31,278928.0
Hartford,CT,2020-10-31,341308.0
Richmond,VA,2020-10-31,381750.0
New Orleans,LA,2020-10-31,299000.0
Buffalo,NY,2020-10-31,225761.0
Raleigh,NC,2020-10-31,389577.0
Birmingham,AL,2020-10-31,275062.0
Salt Lake City,UT,2020-10-31,493883.0
Rochester,NY,2020-10-31,252643.0
Grand Rapids,MI,2020-10-31,319140.0
Tucson,AZ,2020-10-31,323333.0
Urban Honolulu,HI,2020-10-31,591333.0
Tulsa,OK,2020-10-31,274041.0
Fresno,CA,2020-10-31,388155.0
Worcester,MA,2020-10-31,382507.0
Stamford,CT,2020-10-31,779654.0
Albuquerque,NM,2020-10-31,338793.0
Albany,NY,2020-10-31,303710.0
Omaha,NE,2020-10-31,324675.0
New Haven,CT,2020-10-31,340175.0
Bakersfield,CA,2020-10-31,304333.0
Knoxville,TN,2020-10-31,331300.0
Greenville,SC,2020-10-31,285492.0
Ventura,CA,2020-10-31,871333.0
Allentown,PA,2020-10-31,320890.0
El Paso,TX,2020-10-31,213540.0
Baton Rouge,LA,2020-10-31,271697.0
Dayton,OH,2020-10-31,217199.0
McAllen,TX,2020-10-31,227330.0
Columbia,SC,2020-10-31,241065.0
Greensboro,NC,2020-10-31,281133.0
Akron,OH,2020-10-31,181300.0
North Port-Sarasota-Bradenton,FL,2020-10-31,382330.0
Little Rock,AR,2020-10-31,206689.0
Stockton,CA,2020-10-31,463425.0
Charleston,SC,2020-10-31,403337.0
Syracuse,NY,2020-10-31,189410.0
Colorado Springs,CO,2020-10-31,473265.0
Winston-Salem,NC,2020-10-31,297183.0
Wichita,KS,2020-10-31,240733.0
Springfield,MA,2020-10-31,321116.0
Fort Myers,FL,2020-10-31,270424.0
Boise City,ID,2020-10-31,431627.0
Toledo,OH,2020-10-31,206583.0
Madison,WI,2020-10-31,341667.0
Lakeland,FL,2020-10-31,252124.0
Ogden,UT,2020-10-31,445833.0
Daytona Beach,FL,2020-10-31,290948.0
Des Moines,IA,2020-10-31,270957.0
Provo,UT,2020-10-31,479224.0
Durham,NC,2020-10-31,426169.0
Fort Collins,CO,2020-10-31,456755.0
New York,NY,2020-11-30,652667.0
Los Angeles-Long Beach-Anaheim,CA,2020-11-30,981000.0
Chicago,IL,2020-11-30,346278.0
Dallas-Fort Worth,TX,2020-11-30,357563.0
Philadelphia,PA,2020-11-30,336667.0
Houston,TX,2020-11-30,337372.0
Washington,DC,2020-11-30,533215.0
Miami-Fort Lauderdale,FL,2020-11-30,402392.0
Atlanta,GA,2020-11-30,354638.0
Boston,MA,2020-11-30,663965.0
San Francisco,CA,2020-11-30,999361.0
Detroit,MI,2020-11-30,273300.0
Riverside,CA,2020-11-30,485000.0
Phoenix,AZ,2020-11-30,399633.0
Seattle,WA,2020-11-30,640000.0
Minneapolis-St Paul,MN,2020-11-30,369481.0
San Diego,CA,2020-11-30,816666.0
St. Louis,MO,2020-11-30,253200.0
Tampa,FL,2020-11-30,303002.0
Baltimore,MD,2020-11-30,351633.0
Denver,CO,2020-11-30,520333.0
Pittsburgh,PA,2020-11-30,234600.0
Portland,OR,2020-11-30,507029.0
Charlotte,NC,2020-11-30,370483.0
Sacramento,CA,2020-11-30,575463.0
San Antonio,TX,2020-11-30,294667.0
Orlando,FL,2020-11-30,332133.0
Cincinnati,OH,2020-11-30,312933.0
Cleveland,OH,2020-11-30,196600.0
Kansas City,MO,2020-11-30,341633.0
Las Vegas,NV,2020-11-30,347333.0
Columbus,OH,2020-11-30,321297.0
Indianapolis,IN,2020-11-30,287633.0
San Jose,CA,2020-11-30,1248317.0
Austin,TX,2020-11-30,401293.0
Virginia Beach,VA,2020-11-30,312056.0
Nashville,TN,2020-11-30,381266.0
Providence,RI,2020-11-30,400268.0
Milwaukee,WI,2020-11-30,239933.0
Jacksonville,FL,2020-11-30,309663.0
Memphis,TN,2020-11-30,256663.0
Oklahoma City,OK,2020-11-30,292948.0
Louisville-Jefferson County,KY,2020-11-30,266297.0
Hartford,CT,2020-11-30,336485.0
Richmond,VA,2020-11-30,383515.0
New Orleans,LA,2020-11-30,299000.0
Buffalo,NY,2020-11-30,225253.0
Raleigh,NC,2020-11-30,390601.0
Birmingham,AL,2020-11-30,273538.0
Salt Lake City,UT,2020-11-30,497252.0
Rochester,NY,2020-11-30,245661.0
Grand Rapids,MI,2020-11-30,319496.0
Tucson,AZ,2020-11-30,319844.0
Urban Honolulu,HI,2020-11-30,591000.0
Tulsa,OK,2020-11-30,274702.0
Fresno,CA,2020-11-30,388498.0
Worcester,MA,2020-11-30,385387.0
Stamford,CT,2020-11-30,763277.0
Albuquerque,NM,2020-11-30,332113.0
Albany,NY,2020-11-30,296792.0
Omaha,NE,2020-11-30,321478.0
New Haven,CT,2020-11-30,335953.0
Bakersfield,CA,2020-11-30,307667.0
Knoxville,TN,2020-11-30,316267.0
Greenville,SC,2020-11-30,284345.0
Ventura,CA,2020-11-30,864333.0
Allentown,PA,2020-11-30,321049.0
El Paso,TX,2020-11-30,219193.0
Baton Rouge,LA,2020-11-30,272100.0
Dayton,OH,2020-11-30,216172.0
McAllen,TX,2020-11-30,230663.0
Columbia,SC,2020-11-30,240526.0
Greensboro,NC,2020-11-30,270463.0
Akron,OH,2020-11-30,174283.0
North Port-Sarasota-Bradenton,FL,2020-11-30,381993.0
Little Rock,AR,2020-11-30,210083.0
Stockton,CA,2020-11-30,463842.0
Charleston,SC,2020-11-30,405131.0
Syracuse,NY,2020-11-30,189109.0
Colorado Springs,CO,2020-11-30,466077.0
Winston-Salem,NC,2020-11-30,289461.0
Wichita,KS,2020-11-30,230833.0
Springfield,MA,2020-11-30,315820.0
Fort Myers,FL,2020-11-30,270837.0
Boise City,ID,2020-11-30,443293.0
Toledo,OH,2020-11-30,194633.0
Madison,WI,2020-11-30,343300.0
Lakeland,FL,2020-11-30,253464.0
Ogden,UT,2020-11-30,451942.0
Daytona Beach,FL,2020-11-30,292948.0
Des Moines,IA,2020-11-30,270390.0
Provo,UT,2020-11-30,486834.0
Durham,NC,2020-11-30,425348.0
Fort Collins,CO,2020-11-30,453537.0
New York,NY,2020-12-31,658000.0
Los Angeles-Long Beach-Anaheim,CA,2020-12-31,991267.0
Chicago,IL,2020-12-31,340942.0
Dallas-Fort Worth,TX,2020-12-31,354593.0
Philadelphia,PA,2020-12-31,333333.0
Houston,TX,2020-12-31,336120.0
