City,State,Date,HVI
Baraboo,WI,RegionID,394360.0
Marietta,OH,RegionID,753903.0
Salina,KS,RegionID,395049.0
Rutland,VT,RegionID,395044.0
Big Stone Gap,VA,RegionID,753866.0
Sturgis,MI,RegionID,395136.0
Rio Grande City,TX,RegionID,395024.0
Fremont,OH,RegionID,394618.0
Mount Vernon,OH,RegionID,394889.0
Lewiston,ID,RegionID,394787.0
Shelton,WA,RegionID,395092.0
Enid,OK,RegionID,394570.0
Jefferson,GA,RegionID,753893.0
Georgetown,SC,RegionID,394629.0
Laconia,NH,RegionID,394759.0
Batavia,NY,RegionID,394365.0
Oxford,NC,RegionID,753910.0
Columbus,MS,RegionID,394490.0
Norwalk,OH,RegionID,394923.0
Barre,VT,RegionID,394362.0
Kinston,NC,RegionID,394750.0
Sterling,IL,RegionID,395131.0
Palestine,TX,RegionID,394956.0
Dublin,GA,RegionID,394540.0
Vicksburg,MS,RegionID,395189.0
Point Pleasant,WV,RegionID,394989.0
Sanford,NC,RegionID,395063.0
Fergus Falls,MN,RegionID,394591.0
Tiffin,OH,RegionID,395157.0
Fairmont,WV,RegionID,394582.0
Crossville,TN,RegionID,394509.0
Picayune,MS,RegionID,394977.0
Gloversville,NY,RegionID,394634.0
Sonora,CA,RegionID,753920.0
Gaffney,SC,RegionID,394621.0
Carson City,NV,RegionID,394444.0
Calhoun,GA,RegionID,394432.0
Milledgeville,GA,RegionID,394861.0
Waycross,GA,RegionID,395216.0
Oil City,PA,RegionID,394933.0
Jasper,IN,RegionID,394721.0
Morgan City,LA,RegionID,394878.0
Eagle Pass,TX,RegionID,394551.0
Ontario,OR,RegionID,394940.0
Payson,AZ,RegionID,394967.0
McComb,MS,RegionID,394844.0
Rochelle,IL,RegionID,395029.0
Scottsboro,AL,RegionID,395073.0
Danville,KY,RegionID,394517.0
Ashland,OH,RegionID,394339.0
Natchez,MS,RegionID,394903.0
Greenville,OH,RegionID,394652.0
Galesburg,IL,RegionID,394625.0
Warrensburg,MO,RegionID,395204.0
Kearney,NE,RegionID,394737.0
Fort Polk South,LA,RegionID,394608.0
Fort Leonard Wood,MO,RegionID,394604.0
Glasgow,KY,RegionID,394632.0
Athens,TN,RegionID,394344.0
Edwards,CO,RegionID,394556.0
Fernley,NV,RegionID,394592.0
Mason City,IA,RegionID,394838.0
Malone,NY,RegionID,394819.0
Winona,MN,RegionID,395234.0
Durango,CO,RegionID,394547.0
Platteville,WI,RegionID,394985.0
Boone,NC,RegionID,394402.0
Bartlesville,OK,RegionID,394363.0
Jacksonville,TX,RegionID,394717.0
Elko,NV,RegionID,394566.0
Rexburg,ID,RegionID,395020.0
St. Marys,GA,RegionID,395122.0
Ozark,AL,RegionID,753911.0
Amsterdam,NY,RegionID,394326.0
Enterprise,AL,RegionID,394571.0
Paris,TX,RegionID,394963.0
Kerrville,TX,RegionID,394742.0
New Castle,IN,RegionID,394906.0
Sidney,OH,RegionID,395097.0
Cortland,NY,RegionID,394504.0
Clinton,IA,RegionID,394477.0
Del Rio,TX,RegionID,394527.0
Clovis,NM,RegionID,394478.0
Norfolk,NE,RegionID,394919.0
Washington,NC,RegionID,395208.0
Corsicana,TX,RegionID,394503.0
Freeport,IL,RegionID,394616.0
Starkville,MS,RegionID,395124.0
Burlington,IA,RegionID,394427.0
Cadillac,MI,RegionID,394431.0
Ardmore,OK,RegionID,394336.0
Kendallville,IN,RegionID,394739.0
Nogales,AZ,RegionID,394918.0
Oxford,MS,RegionID,394951.0
Bogalusa,LA,RegionID,394398.0
Plymouth,IN,RegionID,394987.0
Gardnerville Ranchos,NV,RegionID,394628.0
Tahlequah,OK,RegionID,395144.0
Madisonville,KY,RegionID,394817.0
Cañon City,CO,RegionID,394437.0
Ruston,LA,RegionID,395043.0
Hillsdale,MI,RegionID,753889.0
Lewistown,PA,RegionID,394789.0
Rockingham,NC,RegionID,395034.0
Ponca City,OK,RegionID,394990.0
Blytheville,AR,RegionID,394397.0
Red Wing,MN,RegionID,395017.0
Shawano,WI,RegionID,753918.0
Cedar City,UT,RegionID,394446.0
Bedford,IN,RegionID,394375.0
Gillette,WY,RegionID,394631.0
Newport,OR,RegionID,753905.0
Wapakoneta,OH,RegionID,395201.0
Huntingdon,PA,RegionID,394695.0
Bellefontaine,OH,RegionID,394377.0
McAlester,OK,RegionID,394842.0
Blackfoot,ID,RegionID,394391.0
Moultrie,GA,RegionID,394883.0
Henderson,NC,RegionID,394677.0
Coldwater,MI,RegionID,394482.0
Harrison,AR,RegionID,394667.0
Rolla,MO,RegionID,395037.0
Shelbyville,TN,RegionID,395091.0
Duncan,OK,RegionID,394545.0
Marion,NC,RegionID,753904.0
Lewisburg,PA,RegionID,394785.0
Pullman,WA,RegionID,395008.0
Thomasville,GA,RegionID,395155.0
Bemidji,MN,RegionID,394379.0
Mount Sterling,KY,RegionID,394887.0
Ottumwa,IA,RegionID,394947.0
Pahrump,NV,RegionID,394954.0
Menomonie,WI,RegionID,394850.0
Selma,AL,RegionID,395083.0
Rock Springs,WY,RegionID,395032.0
Bucyrus,OH,RegionID,394424.0
Bradford,PA,RegionID,394409.0
Bardstown,KY,RegionID,753865.0
Cornelia,GA,RegionID,394500.0
Burley,ID,RegionID,394426.0
Greenwood,MS,RegionID,394654.0
Big Rapids,MI,RegionID,394384.0
Poplar Bluff,MO,RegionID,394993.0
Muscatine,IA,RegionID,394895.0
Alma,MI,RegionID,394319.0
Durant,OK,RegionID,394548.0
Seymour,IN,RegionID,395087.0
Douglas,GA,RegionID,394538.0
Willmar,MN,RegionID,395228.0
Auburn,IN,RegionID,394349.0
Sedalia,MO,RegionID,395081.0
Paragould,AR,RegionID,394961.0
Wilmington,OH,RegionID,395230.0
Lawrenceburg,TN,RegionID,394779.0
Warren,PA,RegionID,395203.0
El Dorado,AR,RegionID,394560.0
Mountain Home,AR,RegionID,394891.0
Cedartown,GA,RegionID,394448.0
Port Clinton,OH,RegionID,753913.0
El Campo,TX,RegionID,394558.0
Montrose,CO,RegionID,394876.0
Ellensburg,WA,RegionID,394567.0
Jacksonville,IL,RegionID,394715.0
Sandpoint,ID,RegionID,753916.0
Alice,TX,RegionID,394316.0
Celina,OH,RegionID,394449.0
Garden City,KS,RegionID,394627.0
Marshalltown,IA,RegionID,394833.0
Aberdeen,SD,RegionID,394297.0
West Plains,MO,RegionID,395219.0
Cullowhee,NC,RegionID,753877.0
Espa±ola,NM,RegionID,394574.0
Riverton,WY,RegionID,395026.0
Tifton,GA,RegionID,395158.0
Urbana,OH,RegionID,395178.0
Cambridge,OH,RegionID,394434.0
Okeechobee,FL,RegionID,394934.0
McMinnville,TN,RegionID,394845.0
Selinsgrove,PA,RegionID,395082.0
Natchitoches,LA,RegionID,394904.0
Berlin,NH,RegionID,394383.0
Lock Haven,PA,RegionID,394799.0
Sikeston,MO,RegionID,395099.0
Austin,MN,RegionID,394354.0
Clewiston,FL,RegionID,394476.0
Pittsburg,KS,RegionID,394981.0
Defiance,OH,RegionID,394526.0
Scottsbluff,NE,RegionID,395072.0
Logansport,IN,RegionID,394801.0
Pontiac,IL,RegionID,394992.0
Hannibal,MO,RegionID,394663.0
Mount Vernon,IL,RegionID,394888.0
Houghton,MI,RegionID,394690.0
Union City,TN,RegionID,395176.0
Sault Ste. Marie,MI,RegionID,395069.0
Vincennes,IN,RegionID,395192.0
Gainesville,TX,RegionID,394624.0
Dyersburg,TN,RegionID,394550.0
Kill Devil Hills,NC,RegionID,394745.0
Crawfordsville,IN,RegionID,394507.0
Brownwood,TX,RegionID,394422.0
Stephenville,TX,RegionID,395129.0
Americus,GA,RegionID,394324.0
Easton,MD,RegionID,394554.0
North Platte,NE,RegionID,394920.0
Newberry,SC,RegionID,394914.0
Ada,OK,RegionID,394300.0
Moscow,ID,RegionID,394881.0
Safford,AZ,RegionID,395046.0
Murray,KY,RegionID,394894.0
Bennington,VT,RegionID,394382.0
Huntington,IN,RegionID,394696.0
Mayfield,KY,RegionID,394840.0
Escanaba,MI,RegionID,394573.0
Canton,IL,RegionID,394438.0
Corinth,MS,RegionID,394499.0
Astoria,OR,RegionID,394341.0
Peru,IN,RegionID,394973.0
Coshocton,OH,RegionID,394506.0
Newton,IA,RegionID,394916.0
Logan,WV,RegionID,753898.0
Bay City,TX,RegionID,394370.0
Fremont,NE,RegionID,394617.0
