Date,City,State,SizeRank,Avg_Rent,%Change_Rent
2018-08-31,Miami-Fort Lauderdale,FL,8,1874,0.43
2018-08-31,Atlanta,GA,9,1368,0.44
2018-08-31,Boston,MA,10,2463,-0.28
2018-08-31,San Francisco,CA,11,3033,0.46
2018-08-31,Detroit,MI,12,1136,0.26
2018-08-31,Riverside,CA,13,1801,0.5
2018-08-31,Phoenix,AZ,14,1249,0.56
2018-08-31,Seattle,WA,15,1858,0.05
2018-08-31,Minneapolis-St Paul,MN,16,1432,0.0
2018-08-31,San Diego,CA,17,2263,0.62
2018-08-31,St. Louis,MO,18,1023,0.1
2018-08-31,Tampa,FL,19,1374,0.29
2018-08-31,Baltimore,MD,20,1497,0.2
2018-08-31,Denver,CO,21,1610,0.25
2018-08-31,Pittsburgh,PA,22,1129,-0.09
2018-08-31,Portland,OR,23,1540,0.33
2018-08-31,Charlotte,NC,24,1316,0.38
2018-08-31,Sacramento,CA,25,1730,0.64
2018-08-31,San Antonio,TX,26,1168,0.43
2018-08-31,Orlando,FL,27,1454,0.35
2018-08-31,Cleveland,OH,29,1100,0.27
2018-08-31,Kansas City,MO,30,1060,0.47
2018-08-31,Las Vegas,NV,31,1279,0.55
2018-08-31,Columbus,OH,32,1125,-0.35
2018-08-31,Indianapolis,IN,33,1108,0.27
2018-08-31,Austin,TX,35,1405,0.29
2018-08-31,Virginia Beach,VA,36,1258,0.16
2018-08-31,Nashville,TN,37,1387,-0.22
2018-08-31,Providence,RI,38,1379,-0.65
2018-08-31,Jacksonville,FL,40,1257,0.24
2018-08-31,Memphis,TN,41,1081,0.19
2018-08-31,Oklahoma City,OK,42,1067,-0.19
2018-08-31,Louisville-Jefferson County,KY,43,1039,0.68
2018-08-31,Hartford,CT,44,1328,-0.38
2018-08-31,New Orleans,LA,46,1215,-0.33
2018-08-31,Buffalo,NY,47,987,0.0
2018-08-31,Raleigh,NC,48,1325,0.38
2018-08-31,Birmingham,AL,49,1054,1.05
2018-08-31,Salt Lake City,UT,50,1243,0.32
2018-08-31,Grand Rapids,MI,52,1124,0.27
2018-08-31,Tucson,AZ,53,1105,0.45
2018-08-31,Urban Honolulu,HI,54,2298,0.09
2018-08-31,Tulsa,OK,55,1007,0.2
2018-08-31,Fresno,CA,56,1429,0.0
2018-08-31,Worcester,MA,57,1397,-0.07
2018-08-31,Stamford,CT,58,2123,-0.14
2018-08-31,Albuquerque,NM,59,1080,0.47
2018-08-31,Albany,NY,60,1172,0.17
2018-08-31,Omaha,NE,61,989,0.1
2018-08-31,New Haven,CT,62,1524,-0.13
2018-08-31,Bakersfield,CA,63,1215,0.25
2018-08-31,Knoxville,TN,64,1130,-0.18
2018-08-31,Greenville,SC,65,1173,-0.42
2018-08-31,Ventura,CA,66,2377,0.81
2018-08-31,Allentown,PA,67,1340,-0.15
2018-08-31,El Paso,TX,68,1050,0.0
2018-08-31,Baton Rouge,LA,69,1192,-0.25
2018-08-31,Dayton,OH,70,985,-0.3
2018-08-31,Greensboro,NC,73,1004,0.6
2018-08-31,Akron,OH,74,911,-1.09
2018-08-31,North Port-Sarasota-Bradenton,FL,75,1557,0.26
2018-08-31,Little Rock,AR,76,922,0.33
2018-08-31,Stockton,CA,77,1795,0.39
2018-08-31,Charleston,SC,78,1389,0.14
2018-08-31,Syracuse,NY,79,1075,1.22
2018-08-31,Colorado Springs,CO,80,1370,0.29
2018-08-31,Winston-Salem,NC,81,1150,0.44
2018-08-31,Springfield,MA,83,1306,0.23
2018-08-31,Fort Myers,FL,84,1385,0.95
2018-08-31,Boise City,ID,85,1218,0.16
