Date,City,State,Avg_List_Price,%Change_LP,Avg_Sale_Price,%Change_SP,HVI,%Change_HVI,Avg_Rent,%Change_Rent
2020-08-31,New York,NY,629263.0,2.72,451333.0,1.5,492585.0,0.53,2605.0,-2.18
2020-08-31,Los Angeles-Long Beach-Anaheim,CA,958000.0,3.27,713667.0,3.23,701667.0,1.32,2438.0,-0.33
2020-08-31,Chicago,IL,348800.0,1.45,262500.0,2.07,247603.0,0.68,1711.0,-0.7
2020-08-31,Dallas-Fort Worth,TX,358133.0,0.94,296492.0,2.25,266755.0,0.9,1432.0,0.07
2020-08-31,Philadelphia,PA,333000.0,2.99,279300.0,1.87,261868.0,1.01,1593.0,0.19
2020-08-31,Houston,TX,327290.0,1.5,264333.0,2.08,227120.0,0.46,1355.0,0.0
2020-08-31,Washington,DC,550967.0,1.22,452808.0,1.75,454362.0,0.91,1998.0,-0.6
2020-08-31,Miami-Fort Lauderdale,FL,399855.0,0.5,326000.0,2.09,311972.0,0.44,1944.0,0.15
2020-08-31,Atlanta,GA,351235.0,1.93,282068.0,2.05,254488.0,0.84,1496.0,0.81
2020-08-31,Boston,MA,648267.0,1.3,521210.0,2.07,513756.0,1.0,2484.0,-1.74
2020-08-31,San Francisco,CA,998667.0,1.45,891333.0,2.67,1143113.0,1.41,2977.0,-2.14
2020-08-31,Detroit,MI,286300.0,3.02,216200.0,4.19,186853.0,0.8,1214.0,0.58
2020-08-31,Riverside,CA,461333.0,3.36,413362.0,1.64,400079.0,1.17,1975.0,1.54
2020-08-31,Phoenix,AZ,396908.0,2.14,321665.0,2.23,305774.0,1.47,1430.0,1.2
2020-08-31,Seattle,WA,671333.0,0.4,548333.0,2.62,555020.0,1.45,1941.0,-0.51
2020-08-31,Minneapolis-St Paul,MN,392959.0,-0.44,308617.0,1.7,305778.0,0.72,1513.0,0.13
2020-08-31,San Diego,CA,841267.0,3.23,633500.0,2.7,631080.0,1.07,2364.0,0.3
2020-08-31,St. Louis,MO,258967.0,-0.31,216667.0,2.48,190765.0,1.04,1092.0,0.46
2020-08-31,Tampa,FL,292672.0,2.25,256833.0,1.41,238475.0,1.1,1491.0,0.81
2020-08-31,Baltimore,MD,364675.0,0.46,316650.0,1.6,306573.0,0.88,1524.0,-0.07
2020-08-31,Denver,CO,550000.0,0.62,457442.0,1.47,459696.0,0.69,1655.0,-0.12
2020-08-31,Pittsburgh,PA,234130.0,2.87,196665.0,0.85,169049.0,1.26,1187.0,-0.08
2020-08-31,Portland,OR,495977.0,0.78,433667.0,1.96,436821.0,28.47,1607.0,0.5
2020-08-31,Portland,OR,495977.0,0.78,433667.0,1.96,342676.0,-21.55,1607.0,0.5
2020-08-31,Charlotte,NC,367699.0,1.48,294621.0,2.91,255874.0,0.91,1401.0,0.07
