Date,City,State,SizeRank,Avg_Sale_Price,%Change_SP
2014-05-31,Hartford,CT,44,204667.0,0.82
2014-05-31,Richmond,VA,45,210667.0,3.61
2014-05-31,New Orleans,LA,46,169967.0,2.0
2014-05-31,Buffalo,NY,47,125983.0,2.72
2014-05-31,Raleigh,NC,48,218750.0,1.78
2014-05-31,Birmingham,AL,49,188300.0,0.76
2014-05-31,Salt Lake City,UT,50,227314.0,1.55
2014-05-31,Rochester,NY,51,127699.0,2.9
2014-05-31,Grand Rapids,MI,52,134433.0,3.2
2014-05-31,Tucson,AZ,53,171333.0,1.18
2014-05-31,Urban Honolulu,HI,54,491667.0,1.72
2014-05-31,Tulsa,OK,55,144000.0,2.61
2014-05-31,Fresno,CA,56,217833.0,2.03
2014-05-31,Worcester,MA,57,224067.0,3.06
2014-05-31,Stamford,CT,58,395000.0,6.28
2014-05-31,Albuquerque,NM,59,171667.0,2.39
2014-05-31,Albany,NY,60,173833.0,-0.19
2014-05-31,Omaha,NE,61,148500.0,1.14
2014-05-31,New Haven,CT,62,191333.0,4.32
2014-05-31,Bakersfield,CA,63,189083.0,1.79
2014-05-31,Knoxville,TN,64,150650.0,3.46
2014-05-31,Greenville,SC,65,151083.0,3.19
2014-05-31,Ventura,CA,66,461917.0,2.53
2014-05-31,Allentown,PA,67,172000.0,1.08
2014-05-31,El Paso,TX,68,138525.0,1.73
2014-05-31,Baton Rouge,LA,69,181650.0,1.87
2014-05-31,Dayton,OH,70,116333.0,2.12
2014-05-31,McAllen,TX,71,117983.0,4.41
2014-05-31,Columbia,SC,72,150667.0,2.79
2014-05-31,Greensboro,NC,73,137000.0,3.27
2014-05-31,Akron,OH,74,126950.0,6.89
2014-05-31,North Port-Sarasota-Bradenton,FL,75,209040.0,1.85
2014-05-31,Little Rock,AR,76,170894.0,1.0
2014-05-31,Stockton,CA,77,259833.0,2.03
2014-05-31,Charleston,SC,78,230504.0,2.07
2014-05-31,Syracuse,NY,79,121917.0,3.39
2014-05-31,Colorado Springs,CO,80,224000.0,2.3
2014-05-31,Winston-Salem,NC,81,129450.0,1.24
2014-05-31,Wichita,KS,82,118250.0,1.43
2014-05-31,Springfield,MA,83,186150.0,4.39
2014-05-31,Fort Myers,FL,84,185000.0,3.16
2014-05-31,Boise City,ID,85,176333.0,2.92
2014-05-31,Toledo,OH,86,95133.0,8.56
2014-05-31,Madison,WI,87,196000.0,3.16
2014-05-31,Lakeland,FL,88,127667.0,0.0
2014-05-31,Ogden,UT,89,185845.0,1.54
2014-05-31,Daytona Beach,FL,90,146667.0,0.0
2014-05-31,Des Moines,IA,91,158000.0,0.85
2014-05-31,Provo,UT,100,213700.0,1.62
2014-05-31,Durham,NC,104,206500.0,2.91
2014-05-31,Fort Collins,CO,159,251633.0,3.29
2014-06-30,New York,NY,1,367633.0,2.32
2014-06-30,Los Angeles-Long Beach-Anaheim,CA,2,511333.0,1.32
2014-06-30,Chicago,IL,3,215667.0,6.94
2014-06-30,Dallas-Fort Worth,TX,4,193330.0,2.84
2014-06-30,Philadelphia,PA,5,224667.0,4.33
2014-06-30,Houston,TX,6,193258.0,3.73
2014-06-30,Washington,DC,7,388100.0,2.87
2014-06-30,Miami-Fort Lauderdale,FL,8,223750.0,3.87
2014-06-30,Atlanta,GA,9,203667.0,2.99
2014-06-30,Boston,MA,10,372000.0,4.54
2014-06-30,San Francisco,CA,11,628167.0,2.17
2014-06-30,Detroit,MI,12,150000.0,4.44
2014-06-30,Riverside,CA,13,280833.0,1.2
2014-06-30,Phoenix,AZ,14,206624.0,1.32
2014-06-30,Seattle,WA,15,336483.0,2.84
2014-06-30,Minneapolis-St Paul,MN,16,212576.0,3.34
2014-06-30,San Diego,CA,17,454667.0,1.41
2014-06-30,St. Louis,MO,18,160567.0,5.58
2014-06-30,Tampa,FL,19,161467.0,2.76
2014-06-30,Baltimore,MD,20,285567.0,3.02
2014-06-30,Denver,CO,21,286300.0,1.42
2014-06-30,Pittsburgh,PA,22,144167.0,3.1
2014-06-30,Portland,OR,23,277998.0,2.27
2014-06-30,Charlotte,NC,24,198000.0,2.77
2014-06-30,Sacramento,CA,25,310000.0,1.64
2014-06-30,San Antonio,TX,26,181833.0,2.44
2014-06-30,Orlando,FL,27,188333.0,0.71
2014-06-30,Cincinnati,OH,28,149500.0,3.82
2014-06-30,Cleveland,OH,29,128733.0,4.04
2014-06-30,Kansas City,MO,30,171680.0,5.75
2014-06-30,Las Vegas,NV,31,194468.0,0.98
2014-06-30,Columbus,OH,32,159267.0,3.24
2014-06-30,Indianapolis,IN,33,141382.0,4.75
2014-06-30,San Jose,CA,34,744500.0,1.41
2014-06-30,Austin,TX,35,245617.0,2.5
2014-06-30,Virginia Beach,VA,36,229933.0,3.12
2014-06-30,Nashville,TN,37,194917.0,4.73
2014-06-30,Providence,RI,38,221667.0,3.91
2014-06-30,Milwaukee,WI,39,173333.0,2.31
2014-06-30,Jacksonville,FL,40,205480.0,1.15
2014-06-30,Memphis,TN,41,155083.0,3.97
2014-06-30,Oklahoma City,OK,42,154833.0,2.2
2014-06-30,Louisville-Jefferson County,KY,43,149833.0,4.05
2014-06-30,Hartford,CT,44,214000.0,4.56
2014-06-30,Richmond,VA,45,216000.0,2.53
2014-06-30,New Orleans,LA,46,170333.0,0.22
2014-06-30,Buffalo,NY,47,128467.0,1.97
2014-06-30,Raleigh,NC,48,221833.0,1.41
2014-06-30,Birmingham,AL,49,194967.0,3.54
2014-06-30,Salt Lake City,UT,50,229467.0,0.95
2014-06-30,Rochester,NY,51,130532.0,2.22
2014-06-30,Grand Rapids,MI,52,138550.0,3.06
2014-06-30,Tucson,AZ,53,174000.0,1.56
2014-06-30,Urban Honolulu,HI,54,496995.0,1.08
2014-06-30,Tulsa,OK,55,146000.0,1.39
2014-06-30,Fresno,CA,56,215000.0,-1.3
2014-06-30,Worcester,MA,57,228983.0,2.19
2014-06-30,Stamford,CT,58,427750.0,8.29
2014-06-30,Albuquerque,NM,59,174817.0,1.83
2014-06-30,Albany,NY,60,175500.0,0.96
2014-06-30,Omaha,NE,61,151833.0,2.24
2014-06-30,New Haven,CT,62,206000.0,7.67
2014-06-30,Bakersfield,CA,63,191500.0,1.28
2014-06-30,Knoxville,TN,64,154483.0,2.54
2014-06-30,Greenville,SC,65,153683.0,1.72
2014-06-30,Ventura,CA,66,471917.0,2.16
2014-06-30,Allentown,PA,67,173333.0,0.77
2014-06-30,El Paso,TX,68,142033.0,2.53
2014-06-30,Baton Rouge,LA,69,184317.0,1.47
2014-06-30,Dayton,OH,70,123000.0,5.73
2014-06-30,McAllen,TX,71,118150.0,0.14
2014-06-30,Columbia,SC,72,154367.0,2.46
2014-06-30,Greensboro,NC,73,138333.0,0.97
2014-06-30,Akron,OH,74,132783.0,4.59
2014-06-30,North Port-Sarasota-Bradenton,FL,75,213627.0,2.19
2014-06-30,Little Rock,AR,76,176544.0,3.31
2014-06-30,Stockton,CA,77,261500.0,0.64
2014-06-30,Charleston,SC,78,231035.0,0.23
2014-06-30,Syracuse,NY,79,126667.0,3.9
2014-06-30,Colorado Springs,CO,80,231633.0,3.41
2014-06-30,Winston-Salem,NC,81,134283.0,3.73
2014-06-30,Wichita,KS,82,125000.0,5.71
2014-06-30,Springfield,MA,83,194317.0,4.39
2014-06-30,Fort Myers,FL,84,188567.0,1.93
2014-06-30,Boise City,ID,85,181650.0,3.02
2014-06-30,Toledo,OH,86,106617.0,12.07
2014-06-30,Madison,WI,87,200167.0,2.13
2014-06-30,Lakeland,FL,88,131000.0,2.61
2014-06-30,Ogden,UT,89,186045.0,0.11
2014-06-30,Daytona Beach,FL,90,151333.0,3.18
2014-06-30,Des Moines,IA,91,167500.0,6.01
2014-06-30,Provo,UT,100,219753.0,2.83
2014-06-30,Durham,NC,104,213167.0,3.23
2014-06-30,Fort Collins,CO,159,255096.0,1.38
2014-07-31,New York,NY,1,379967.0,3.35
2014-07-31,Los Angeles-Long Beach-Anaheim,CA,2,518000.0,1.3
2014-07-31,Chicago,IL,3,222333.0,3.09
2014-07-31,Dallas-Fort Worth,TX,4,198000.0,2.42
2014-07-31,Philadelphia,PA,5,232667.0,3.56
2014-07-31,Houston,TX,6,196925.0,1.9
2014-07-31,Washington,DC,7,397767.0,2.49
2014-07-31,Miami-Fort Lauderdale,FL,8,234167.0,4.66
2014-07-31,Atlanta,GA,9,206667.0,1.47
2014-07-31,Boston,MA,10,382667.0,2.87
2014-07-31,San Francisco,CA,11,630583.0,0.38
2014-07-31,Detroit,MI,12,154333.0,2.89
2014-07-31,Riverside,CA,13,282500.0,0.59
2014-07-31,Phoenix,AZ,14,208333.0,0.83
2014-07-31,Seattle,WA,15,340500.0,1.19
2014-07-31,Minneapolis-St Paul,MN,16,216409.0,1.8
2014-07-31,San Diego,CA,17,457667.0,0.66
2014-07-31,St. Louis,MO,18,164900.0,2.7
2014-07-31,Tampa,FL,19,165800.0,2.68
2014-07-31,Baltimore,MD,20,288000.0,0.85
2014-07-31,Denver,CO,21,288333.0,0.71
2014-07-31,Pittsburgh,PA,22,148467.0,2.98
2014-07-31,Portland,OR,23,283997.0,2.16
2014-07-31,Charlotte,NC,24,201667.0,1.85
2014-07-31,Sacramento,CA,25,314083.0,1.32
2014-07-31,San Antonio,TX,26,184167.0,1.28
2014-07-31,Orlando,FL,27,190833.0,1.33
2014-07-31,Cincinnati,OH,28,155500.0,4.01
2014-07-31,Cleveland,OH,29,132667.0,3.06
2014-07-31,Kansas City,MO,30,176780.0,2.97
2014-07-31,Las Vegas,NV,31,197134.0,1.37
2014-07-31,Columbus,OH,32,162633.0,2.11
2014-07-31,Indianapolis,IN,33,147016.0,3.98
2014-07-31,San Jose,CA,34,741333.0,-0.43
