Date,City,State,SizeRank,Avg_Rent,%Change_Rent
2021-04-30,Augusta,GA,94,1171.0,2.45
2021-04-30,Scranton,PA,95,1077.0,2.57
2021-04-30,Harrisburg,PA,96,1204.0,2.03
2021-04-30,Melbourne,FL,97,1561.0,1.96
2021-04-30,Chattanooga,TN,98,1264.0,2.68
2021-04-30,Spokane,WA,99,1365.0,3.57
2021-04-30,Provo,UT,100,1482.0,1.09
2021-04-30,Durham,NC,104,1397.0,2.95
2021-04-30,Port St. Lucie,FL,119,1824.0,3.34
2021-04-30,Killeen,TX,128,1157.0,2.84
2021-04-30,Fort Collins,CO,159,1640.0,1.36
2021-04-30,Boulder,CO,162,1962.0,1.24
2021-04-30,College Station,TX,192,1230.0,0.24
2021-04-30,Gainesville,GA,229,1379.0,3.61
2021-04-30,Sierra Vista,AZ,309,987.0,0.41
2021-05-31,New York,NY,1,2593.0,1.89
2021-05-31,Los Angeles-Long Beach-Anaheim,CA,2,2524.0,1.2
2021-05-31,Chicago,IL,3,1739.0,1.76
2021-05-31,Dallas-Fort Worth,TX,4,1528.0,2.0
2021-05-31,Philadelphia,PA,5,1650.0,1.35
2021-05-31,Houston,TX,6,1414.0,1.8
2021-05-31,Washington,DC,7,2008.0,1.67
2021-05-31,Miami-Fort Lauderdale,FL,8,2160.0,2.27
2021-05-31,Atlanta,GA,9,1649.0,2.11
2021-05-31,Boston,MA,10,2497.0,1.67
2021-05-31,San Francisco,CA,11,2943.0,1.38
2021-05-31,Detroit,MI,12,1305.0,1.08
2021-05-31,Riverside,CA,13,2225.0,1.37
2021-05-31,Phoenix,AZ,14,1626.0,3.11
2021-05-31,Seattle,WA,15,1968.0,2.23
2021-05-31,Minneapolis-St Paul,MN,16,1547.0,1.11
2021-05-31,San Diego,CA,17,2537.0,1.89
2021-05-31,St. Louis,MO,18,1146.0,1.15
2021-05-31,Tampa,FL,19,1664.0,3.03
2021-05-31,Baltimore,MD,20,1627.0,1.62
2021-05-31,Denver,CO,21,1742.0,2.17
2021-05-31,Pittsburgh,PA,22,1231.0,0.74
2021-05-31,Portland,OR,23,1682.0,1.88
2021-05-31,Charlotte,NC,24,1515.0,1.75
2021-05-31,Sacramento,CA,25,2041.0,1.8
2021-05-31,San Antonio,TX,26,1289.0,1.5
2021-05-31,Orlando,FL,27,1640.0,2.05
