Date,City,State,Avg_List_Price,%Change_LP
2020-09-30,Fresno,CA,389528.0,0.63
2020-09-30,Worcester,MA,381579.0,-0.08
2020-09-30,Stamford,CT,789978.0,-1.07
2020-09-30,Albuquerque,NM,343810.0,0.13
2020-09-30,Albany,NY,310359.0,-1.5
2020-09-30,Omaha,NE,327685.0,-1.32
2020-09-30,New Haven,CT,347154.0,-0.4
2020-09-30,Bakersfield,CA,297333.0,2.78
2020-09-30,Knoxville,TN,339967.0,-0.5
2020-09-30,Greenville,SC,284686.0,-0.61
2020-09-30,Ventura,CA,868300.0,1.15
2020-09-30,Allentown,PA,320247.0,1.51
2020-09-30,El Paso,TX,212851.0,0.83
2020-09-30,Baton Rouge,LA,268230.0,1.59
2020-09-30,Dayton,OH,216371.0,-1.64
2020-09-30,McAllen,TX,223000.0,2.01
2020-09-30,Columbia,SC,241955.0,0.01
2020-09-30,Greensboro,NC,288297.0,-1.15
2020-09-30,Akron,OH,184000.0,-1.78
2020-09-30,North Port-Sarasota-Bradenton,FL,382497.0,0.52
2020-09-30,Little Rock,AR,205950.0,0.02
2020-09-30,Stockton,CA,458325.0,1.35
2020-09-30,Charleston,SC,400110.0,0.91
2020-09-30,Syracuse,NY,188590.0,0.0
2020-09-30,Colorado Springs,CO,484042.0,-0.92
2020-09-30,Winston-Salem,NC,304016.0,-0.76
2020-09-30,Wichita,KS,252400.0,-4.53
2020-09-30,Springfield,MA,323279.0,-0.25
2020-09-30,Fort Myers,FL,270672.0,-0.41
2020-09-30,Boise City,ID,426657.0,1.19
2020-09-30,Toledo,OH,208250.0,0.01
2020-09-30,Madison,WI,343300.0,-2.28
2020-09-30,Lakeland,FL,250172.0,1.16
2020-09-30,Ogden,UT,444675.0,0.79
2020-09-30,Daytona Beach,FL,289618.0,0.62
2020-09-30,Des Moines,IA,272929.0,-0.98
2020-09-30,Provo,UT,473088.0,2.81
2020-09-30,Durham,NC,422351.0,1.38
2020-09-30,Fort Collins,CO,463148.0,-0.98
2020-10-31,New York,NY,649333.0,1.04
2020-10-31,Los Angeles-Long Beach-Anaheim,CA,975667.0,0.48
2020-10-31,Chicago,IL,349667.0,-0.09
2020-10-31,Dallas-Fort Worth,TX,359096.0,-0.19
2020-10-31,Philadelphia,PA,338000.0,0.5
2020-10-31,Houston,TX,335032.0,1.06
2020-10-31,Washington,DC,541517.0,-1.22
2020-10-31,Miami-Fort Lauderdale,FL,403608.0,0.44
2020-10-31,Atlanta,GA,356305.0,0.46
2020-10-31,Boston,MA,657598.0,1.18
2020-10-31,San Francisco,CA,999401.0,0.02
2020-10-31,Detroit,MI,278333.0,-1.75
2020-10-31,Riverside,CA,480000.0,1.77
2020-10-31,Phoenix,AZ,399967.0,0.0
2020-10-31,Seattle,WA,652667.0,-1.76
2020-10-31,Minneapolis-St Paul,MN,378104.0,-2.05
2020-10-31,San Diego,CA,832933.0,-0.99
2020-10-31,St. Louis,MO,255400.0,-0.67
2020-10-31,Tampa,FL,302651.0,1.95
2020-10-31,Baltimore,MD,356667.0,-1.29
2020-10-31,Denver,CO,532000.0,-2.15
2020-10-31,Pittsburgh,PA,234467.0,0.13
2020-10-31,Portland,OR,501002.0,0.21
2020-10-31,Charlotte,NC,369671.0,0.01
2020-10-31,Sacramento,CA,567163.0,1.34
2020-10-31,San Antonio,TX,297967.0,-0.56
2020-10-31,Orlando,FL,332133.0,0.45
2020-10-31,Cincinnati,OH,320833.0,-2.05
2020-10-31,Cleveland,OH,205933.0,-3.9
2020-10-31,Kansas City,MO,345000.0,-2.35
2020-10-31,Las Vegas,NV,346333.0,0.48
2020-10-31,Columbus,OH,322963.0,-2.12
2020-10-31,Indianapolis,IN,299630.0,-3.34
2020-10-31,San Jose,CA,1248317.0,-0.53
2020-10-31,Austin,TX,396668.0,1.52
2020-10-31,Virginia Beach,VA,315386.0,-0.31
2020-10-31,Nashville,TN,381600.0,0.01
2020-10-31,Providence,RI,411805.0,-2.49
2020-10-31,Milwaukee,WI,244933.0,-3.29
2020-10-31,Jacksonville,FL,314667.0,-1.04
2020-10-31,Memphis,TN,257967.0,-0.77
2020-10-31,Oklahoma City,OK,294322.0,-0.8
2020-10-31,Louisville-Jefferson County,KY,278928.0,-3.46
2020-10-31,Hartford,CT,341308.0,-1.08
2020-10-31,Richmond,VA,381750.0,-0.14
2020-10-31,New Orleans,LA,299000.0,0.73
2020-10-31,Buffalo,NY,225761.0,-1.11
2020-10-31,Raleigh,NC,389577.0,0.69
2020-10-31,Birmingham,AL,275062.0,-0.9
2020-10-31,Salt Lake City,UT,493883.0,-0.86
2020-10-31,Rochester,NY,252643.0,-3.38
2020-10-31,Grand Rapids,MI,319140.0,-0.76
2020-10-31,Tucson,AZ,323333.0,-1.51
2020-10-31,Urban Honolulu,HI,591333.0,-1.44
2020-10-31,Tulsa,OK,274041.0,0.27
2020-10-31,Fresno,CA,388155.0,-0.35
2020-10-31,Worcester,MA,382507.0,0.24
2020-10-31,Stamford,CT,779654.0,-1.31
2020-10-31,Albuquerque,NM,338793.0,-1.46
2020-10-31,Albany,NY,303710.0,-2.14
2020-10-31,Omaha,NE,324675.0,-0.92
2020-10-31,New Haven,CT,340175.0,-2.01
2020-10-31,Bakersfield,CA,304333.0,2.35
2020-10-31,Knoxville,TN,331300.0,-2.55
2020-10-31,Greenville,SC,285492.0,0.28
2020-10-31,Ventura,CA,871333.0,0.35
2020-10-31,Allentown,PA,320890.0,0.2
2020-10-31,El Paso,TX,213540.0,0.32
2020-10-31,Baton Rouge,LA,271697.0,1.29
2020-10-31,Dayton,OH,217199.0,0.38
2020-10-31,McAllen,TX,227330.0,1.94
2020-10-31,Columbia,SC,241065.0,-0.37
2020-10-31,Greensboro,NC,281133.0,-2.48
2020-10-31,Akron,OH,181300.0,-1.47
2020-10-31,North Port-Sarasota-Bradenton,FL,382330.0,-0.04
2020-10-31,Little Rock,AR,206689.0,0.36
2020-10-31,Stockton,CA,463425.0,1.11
2020-10-31,Charleston,SC,403337.0,0.81
2020-10-31,Syracuse,NY,189410.0,0.43
2020-10-31,Colorado Springs,CO,473265.0,-2.23
2020-10-31,Winston-Salem,NC,297183.0,-2.25
2020-10-31,Wichita,KS,240733.0,-4.62
2020-10-31,Springfield,MA,321116.0,-0.67
2020-10-31,Fort Myers,FL,270424.0,-0.09
2020-10-31,Boise City,ID,431627.0,1.16
2020-10-31,Toledo,OH,206583.0,-0.8
2020-10-31,Madison,WI,341667.0,-0.48
2020-10-31,Lakeland,FL,252124.0,0.78
2020-10-31,Ogden,UT,445833.0,0.26
2020-10-31,Daytona Beach,FL,290948.0,0.46
2020-10-31,Des Moines,IA,270957.0,-0.72
2020-10-31,Provo,UT,479224.0,1.3
2020-10-31,Durham,NC,426169.0,0.9
2020-10-31,Fort Collins,CO,456755.0,-1.38
2020-11-30,New York,NY,652667.0,0.51
2020-11-30,Los Angeles-Long Beach-Anaheim,CA,981000.0,0.55
2020-11-30,Chicago,IL,346278.0,-0.97
2020-11-30,Dallas-Fort Worth,TX,357563.0,-0.43
2020-11-30,Philadelphia,PA,336667.0,-0.39
2020-11-30,Houston,TX,337372.0,0.7
2020-11-30,Washington,DC,533215.0,-1.53
2020-11-30,Miami-Fort Lauderdale,FL,402392.0,-0.3
2020-11-30,Atlanta,GA,354638.0,-0.47
2020-11-30,Boston,MA,663965.0,0.97
2020-11-30,San Francisco,CA,999361.0,-0.0
2020-11-30,Detroit,MI,273300.0,-1.81
2020-11-30,Riverside,CA,485000.0,1.04
2020-11-30,Phoenix,AZ,399633.0,-0.08
2020-11-30,Seattle,WA,640000.0,-1.94
2020-11-30,Minneapolis-St Paul,MN,369481.0,-2.28
2020-11-30,San Diego,CA,816666.0,-1.95
2020-11-30,St. Louis,MO,253200.0,-0.86
2020-11-30,Tampa,FL,303002.0,0.12
2020-11-30,Baltimore,MD,351633.0,-1.41
2020-11-30,Denver,CO,520333.0,-2.19
2020-11-30,Pittsburgh,PA,234600.0,0.06
2020-11-30,Portland,OR,507029.0,1.2
2020-11-30,Charlotte,NC,370483.0,0.22
2020-11-30,Sacramento,CA,575463.0,1.46
2020-11-30,San Antonio,TX,294667.0,-1.11
2020-11-30,Orlando,FL,332133.0,0.0
2020-11-30,Cincinnati,OH,312933.0,-2.46
2020-11-30,Cleveland,OH,196600.0,-4.53
2020-11-30,Kansas City,MO,341633.0,-0.98
2020-11-30,Las Vegas,NV,347333.0,0.29
2020-11-30,Columbus,OH,321297.0,-0.52
2020-11-30,Indianapolis,IN,287633.0,-4.0
2020-11-30,San Jose,CA,1248317.0,0.0
2020-11-30,Austin,TX,401293.0,1.17
2020-11-30,Virginia Beach,VA,312056.0,-1.06
2020-11-30,Nashville,TN,381266.0,-0.09
2020-11-30,Providence,RI,400268.0,-2.8
2020-11-30,Milwaukee,WI,239933.0,-2.04
2020-11-30,Jacksonville,FL,309663.0,-1.59
2020-11-30,Memphis,TN,256663.0,-0.51
2020-11-30,Oklahoma City,OK,292948.0,-0.47
2020-11-30,Louisville-Jefferson County,KY,266297.0,-4.53
2020-11-30,Hartford,CT,336485.0,-1.41
2020-11-30,Richmond,VA,383515.0,0.46
2020-11-30,New Orleans,LA,299000.0,0.0
2020-11-30,Buffalo,NY,225253.0,-0.23
2020-11-30,Raleigh,NC,390601.0,0.26
2020-11-30,Birmingham,AL,273538.0,-0.55
2020-11-30,Salt Lake City,UT,497252.0,0.68
2020-11-30,Rochester,NY,245661.0,-2.76
